REFCODE,A,B,C,α,β,γ,Volume,Density,Atom Count,Total Dispersion Correction Energy (vdW) eV,Total Energy eV,Difference in Energy eV,Total Energy Per Molecule eV,Energy per Atom (vdW) eV,CC,CH,CCl,CO,CS,CBr,CN,HBr,HH,HO,HS,HCl,HN,OCl,OO,OS,BrO,ON,NN,ClCl,NS,SS,NCl,SCl,ClBr,SBr,NBr,BrBr,FF,FO,FC,FH,FS,FCl,FN,FBr,II,BrI,ClI,FI,SI,OI,NI,CI,HI,BAND GAP
RICBUB,6.9352,8.3343,8.6681,92.2059,100.691,93.0748,491.0204,2.02904,42,-5139.0179,-5135.7619,-3.256,-2567.88095,-0.07752381,10.8,15.8,0,0,0,1.4,0,37.7,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.431
RINFAX,9.144,11.77,10.614,90,90,90,1142.275,1.48448,108,-14869.11,-14861.416,-7.694,-3715.354075,-0.071240741,11.7,27.4,0,0,0,0,0.3,0,30.7,27.3,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.747
RIGVEJ02,13.314,13.314,7.712,90,90,25.313,584.521,1.67719,52,-12047.394,-12043.929,-3.4652,-6021.9644,-0.066638462,7,9.2,0,7.6,0,0,2.2,0,10.3,12,0,0,0.2,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,0,10.6,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.496
ROMMUC,15.869,7.235,15.987,90,117.473,90,1628.392,1.43883,144,-24742.695,-24734.476,-8.21882,-6183.618995,-0.057075139,2,12.8,1.5,0.1,0,0,0.1,0,25.6,4.4,0,11.1,5.9,0,0,0,0,1,0,1.1,0,0,0.5,0,0,0,0,0,0,0.3,8.2,24.4,0,1,0,0,0,0,0,0,0,0,0,0,0,3.017
RUNKIW,6.998,7.006,11.802,94.397,94.702,96.705,570.546,1.54981,56,-8933.582,-8929.326,-4.2557,-4464.663,-0.075994643,17.5,10.5,0,0,0,0,4.3,0,28.3,0,0,0,11,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,2,0,4.6,21.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,1.221
RUNKOC,3.742,11.383,13.627,97.182,92.699,98.724,567.936,1.55693,56,-8933.667,-8929.365,-4.3021,-4464.68235,-0.076823214,16.2,15.3,0,0,0,0,3.9,0,24.1,0,0,0,10.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1.1,0,2.5,25.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.19
RUNKUI,11.63,8.159,14.278,90,114.3,90,1234.801,1.62574,112,-23027.101,-23019.166,-7.93507,-5754.7916,-0.070848839,15.7,8.4,0,0,0,0,4.1,0,9.5,0,0,0,9.7,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,6.4,0,9,36,0,0,1.2,0,0,0,0,0,0,0,0,0,0,1.108
RUNLAP,12.812,7.946,15.18,90,95.862,90,1537.277,1.67761,136,-30793.138,-30783.64,-9.49855,-7695.90996,-0.069842279,16,11.3,0,0,0,0,3.5,0,5.8,0,0,0,7.9,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,13.1,0,9.9,31.6,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.734
SOFWIV01,7.715,15.366,11.734,90,90,90,1391.066,2.25284,96,-13844.233,-13837.175,-7.0577,-1729.64685,-0.073517708,0,29,0,0,0,4.7,0,41.6,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.822
SOYYAI,3.943,5.928,29.704,90,90,90,694.311,1.9421,56,-10434.202,-10430.222,-3.97941564,-2607.555569,-0.071060994,7.2,13,0,3.4,0,1.7,0,26.6,11.7,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,4,4.1,3.3,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.434
