Entry,Index,NAME,a,b,c,alpha,gamma,beta,r_factor,calculated_density
HOMOLUMOCHON_final|ANTMEU01|0,1,ANTMEU01,8.446,12.583,10.105,90.0,90.0,111.77,4.8,1.36
HOMOLUMOCHON_final|APOWIM|1,2,APOWIM,12.2245,8.0153,11.7765,90.0,90.0,113.182,3.85,1.273
HOMOLUMOCHON_final|APOWUY|2,3,APOWUY,19.672,5.4423,15.233,90.0,90.0,122.087,4.41,1.242
HOMOLUMOCHON_final|AYOTEO|3,4,AYOTEO,11.1555,7.2678,19.7129,90.0,90.0,119.096,4.94,1.172
HOMOLUMOCHON_final|AZIBIU|4,5,AZIBIU,5.9905,9.4763,28.8276,90.0,90.0,93.995,6.6,1.157
HOMOLUMOCHON_final|BADMEA|5,6,BADMEA,6.8227,9.1562,25.406,90.0,90.0,90.0,2.88,1.224
HOMOLUMOCHON_final|BINAPH11|6,7,BINAPH11,20.994,6.2563,10.0885,90.0,90.0,105.222,3.55,1.321
HOMOLUMOCHON_final|BOCWEW|7,8,BOCWEW,8.7327,10.8598,21.6999,90.0,90.0,94.226,3.66,1.238
HOMOLUMOCHON_final|CIZCOE|8,9,CIZCOE,12.3212,5.142,20.803,90.0,90.0,101.1599,5.1,1.199
HOMOLUMOCHON_final|DIDMAF|9,10,DIDMAF,18.7206,10.7971,14.0675,90.0,90.0,131.441,4.66,1.067
HOMOLUMOCHON_final|EBAFAQ|10,11,EBAFAQ,9.9211,11.141,12.3491,87.69,84.828,76.15,3.75,1.174
HOMOLUMOCHON_final|EGUQED|11,12,EGUQED,17.614,6.0205,18.488,90.0,90.0,90.0,3.55,1.282
HOMOLUMOCHON_final|FEWHIZ|12,13,FEWHIZ,13.904,18.781,10.547,90.0,90.0,103.28,3.36,0.973
HOMOLUMOCHON_final|GUQLIO|13,14,GUQLIO,10.0682,17.8794,15.8106,90.0,90.0,105.346,4.09,1.18
HOMOLUMOCHON_final|GUTCED|14,15,GUTCED,11.4706,12.6418,12.5169,90.0,90.0,90.0,4.12,1.261
